DST1012*19RRX020   0 -14 -14 -11  -9  -6 -10 -11  -9  -6  -3  -4  -3  -7 -10 -11  -9  -9 -10  -7  -7  -7  -4   4   5  -7 0
DST1012*20RRX020   0   3   7  10  12   4  -7 -11 -16 -19 -27 -33 -34 -32 -31 -28 -30 -28 -22 -17 -14 -11 -22 -28 -24 -17 1
DST1012*21RRX020   0 -18 -14 -13 -15 -16 -18 -18 -18 -16 -14 -15 -16 -16 -17 -16 -17 -18 -15 -12 -10 -11 -13 -14 -13 -15 1
DST1012*22RRX020   0 -11  -8  -5  -8  -8  -9 -11 -10 -10  -9  -7  -6  -6  -9  -8  -5  -6  -5  -4  -3  -2  -3  -4  -5  -7 1
DST1012*23RRX020   0  -7  -8  -6  -3   1   2   1  -1  -2  -1  -5  -7  -7  -6  -6  -4  -1   1   6   6   5   1  -6  -7  -2 1
DST1012*24RRX020   0  -6  -4  -3  -3  -3  -3  -5  -5  -6  -7  -9  -9  -8  -7  -4  -5  -9 -10  -7  -3  -4  -7 -10  -8  -6 1
DST1012*25RRX020   0  -7  -6  -7  -4   3   5   4   2   0  -2  -2   1   4   3   3   6   2  -4  -4   0  -1  -6 -12 -12  -1 1
DST1012*26RRX020   0 -10 -10  -7  -4   0   0  -4  -5  -3  -2  -6  -6  -8 -11 -16 -15 -11  -9  -7  -5  -4  -5  -9  -9  -7 1
DST1012*27RRX020   0 -11  -7  -4  -1   3   1  -1   0   2   0  -3  -6  -9 -11 -11 -10 -10  -9  -9  -7  -6  -9 -12 -14  -6 1
DST1012*28RRX020   0 -12  -8  -3   1   6   6   7  11  11  12  13   7  -2 -10 -22 -33 -42 -43 -28 -25 -30 -32 -30 -27 -11 1
DST1012*29RRX020   0 -26 -25 -25 -24 -26 -28 -28 -27 -24 -25 -24 -24 -25 -28 -30 -28 -27 -26 -25 -20 -18 -18 -19 -18 -25 1
DST1012*30RRX020   0 -18 -18 -17 -16 -14 -13 -10  -7  -7  -6  -6  -7  -9  -7 -10 -11 -14 -17 -16 -12 -11  -9  -6  -6 -11 1
DST1012*31RRX020   0  -8 -11 -13 -13  -9 -10 -15 -21 -19 -19 -19 -16 -19 -20 -22 -22 -25 -25 -22 -16 -14 -14 -18 -20 -17 1
DST1101*01RRX020   0 -15 -15 -14 -10  -7  -7  -8  -9  -6  -8  -9 -12 -15 -19 -20 -19 -17 -17 -13  -9  -8 -11 -10  -5 -12 1
DST1101*02RRX020   0  -5  -2  -2  -3  -1   0   2   2  -3  -1  -1   2   1   1  -3  -4  -6  -6  -5  -4  -5  -4  -7  -8  -3 1
DST1101*03RRX020   0  -6  -6  -7  -7  -4  -3  -3   0   3   3   2   5   0  -6  -7  -3  -3  -5 -12  -9  -7  -6  -6  -2  -4 0
