 142.00  0.47294E-03  0.25892E-08  0.52295E+03
 143.00  0.44912E-03  0.24305E-08  0.52731E+03
 144.00  0.42675E-03  0.22838E-08  0.53150E+03
 145.00  0.40574E-03  0.21481E-08  0.53550E+03
 146.00  0.38598E-03  0.20224E-08  0.53933E+03
 147.00  0.36738E-03  0.19057E-08  0.54300E+03
 148.00  0.34985E-03  0.17973E-08  0.54651E+03
 149.00  0.33333E-03  0.16965E-08  0.54987E+03
 150.00  0.31774E-03  0.16025E-08  0.55309E+03
 151.00  0.30301E-03  0.15149E-08  0.55617E+03
 152.00  0.28910E-03  0.14330E-08  0.55912E+03
 153.00  0.27594E-03  0.13565E-08  0.56194E+03
 154.00  0.26349E-03  0.12849E-08  0.56464E+03
 155.00  0.25170E-03  0.12179E-08  0.56723E+03
 156.00  0.24052E-03  0.11550E-08  0.56970E+03
 157.00  0.22993E-03  0.10960E-08  0.57208E+03
 158.00  0.21989E-03  0.10406E-08  0.57435E+03
 159.00  0.21035E-03  0.98845E-09  0.57652E+03
 160.00  0.20130E-03  0.93943E-09  0.57860E+03
 161.00  0.19265E-03  0.89301E-09  0.58059E+03
 162.00  0.18448E-03  0.84955E-09  0.58250E+03
 163.00  0.17671E-03  0.80857E-09  0.58433E+03
 164.00  0.16932E-03  0.76991E-09  0.58608E+03
 165.00  0.16229E-03  0.73340E-09  0.58775E+03
 166.00  0.15559E-03  0.69890E-09  0.58935E+03
 167.00  0.14921E-03  0.66629E-09  0.59089E+03
 168.00  0.14312E-03  0.63545E-09  0.59236E+03
 169.00  0.13733E-03  0.60626E-09  0.59376E+03
 170.00  0.13180E-03  0.57861E-09  0.59511E+03
 171.00  0.12652E-03  0.55242E-09  0.59640E+03
 172.00  0.12149E-03  0.52759E-09  0.59764E+03
 173.00  0.11668E-03  0.50404E-09  0.59882E+03
 174.00  0.11209E-03  0.48170E-09  0.59996E+03
 175.00  0.10771E-03  0.46049E-09  0.60104E+03
 176.00  0.10351E-03  0.44035E-09  0.60208E+03
 177.00  0.99508E-04  0.42121E-09  0.60307E+03
 178.00  0.95678E-04  0.40303E-09  0.60403E+03
 179.00  0.92014E-04  0.38573E-09  0.60494E+03
 180.00  0.88508E-04  0.36928E-09  0.60581E+03
 181.00  0.85153E-04  0.35362E-09  0.60665E+03
 182.00  0.81941E-04  0.33872E-09  0.60745E+03
 183.00  0.78866E-04  0.32452E-09  0.60822E+03
 184.00  0.75920E-04  0.31100E-09  0.60895E+03
 185.00  0.73098E-04  0.29812E-09  0.60966E+03
 186.00  0.70394E-04  0.28583E-09  0.61033E+03
 187.00  0.67802E-04  0.27412E-09  0.61098E+03
 188.00  0.65316E-04  0.26295E-09  0.61160E+03
 189.00  0.62933E-04  0.25229E-09  0.61219E+03
 190.00  0.60647E-04  0.24211E-09  0.61276E+03
 191.00  0.58454E-04  0.23240E-09  0.61330E+03
 192.00  0.56349E-04  0.22312E-09  0.61382E+03
 193.00  0.54329E-04  0.21426E-09  0.61432E+03
 194.00  0.52390E-04  0.20579E-09  0.61480E+03
 195.00  0.50528E-04  0.19770E-09  0.61526E+03
 196.00  0.48739E-04  0.18996E-09  0.61569E+03
 197.00  0.47021E-04  0.18257E-09  0.61611E+03
 198.00  0.45370E-04  0.17549E-09  0.61652E+03
 199.00  0.43784E-04  0.16872E-09  0.61690E+03
 200.00  0.42259E-04  0.16224E-09  0.61727E+03
 201.00  0.40793E-04  0.15604E-09  0.61762E+03
 202.00  0.39384E-04  0.15010E-09  0.61796E+03
 203.00  0.38028E-04  0.14441E-09  0.61829E+03
 204.00  0.36724E-04  0.13897E-09  0.61860E+03
 205.00  0.35470E-04  0.13375E-09  0.61889E+03
 206.00  0.34263E-04  0.12875E-09  0.61918E+03
 207.00  0.33101E-04  0.12395E-09  0.61945E+03
 208.00  0.31983E-04  0.11936E-09  0.61971E+03
 209.00  0.30907E-04  0.11496E-09  0.61997E+03
 210.00  0.29871E-04  0.11073E-09  0.62021E+03
 211.00  0.28872E-04  0.10668E-09  0.62044E+03
 212.00  0.27911E-04  0.10279E-09  0.62066E+03
 213.00  0.26985E-04  0.99057E-10  0.62087E+03
 214.00  0.26093E-04  0.95476E-10  0.62107E+03
 215.00  0.25233E-04  0.92038E-10  0.62126E+03
 216.00  0.24404E-04  0.88737E-10  0.62145E+03
 217.00  0.23606E-04  0.85567E-10  0.62163E+03
 218.00  0.22836E-04  0.82522E-10  0.62180E+03
 219.00  0.22093E-04  0.79596E-10  0.62196E+03
 220.00  0.21377E-04  0.76786E-10  0.62212E+03
 221.00  0.20687E-04  0.74084E-10  0.62227E+03
 222.00  0.20021E-04  0.71488E-10  0.62241E+03
 223.00  0.19378E-04  0.68992E-10  0.62255E+03
 224.00  0.18758E-04  0.66592E-10  0.62268E+03
 225.00  0.18160E-04  0.64284E-10  0.62281E+03
 226.00  0.17583E-04  0.62064E-10  0.62293E+03
 227.00  0.17025E-04  0.59929E-10  0.62305E+03
 228.00  0.16487E-04  0.57874E-10  0.62316E+03
 229.00  0.15968E-04  0.55897E-10  0.62326E+03
 230.00  0.15466E-04  0.53994E-10  0.62337E+03
